comp_disp_inspection_by,comp_disp_date,nyc_BIN,location
2669,2016-10-11,1010402,
2271,2016-10-11,1013790,"40.7406290,-74.0010810"
2715,2016-10-11,1082869,"40.7324375,-73.9803809"
2543,2016-10-11,1007563,"40.7233982,-73.9982330"
2543,2016-10-11,1007563,"40.7233982,-73.9982330"
474,2016-10-11,1014159,"40.7451480,-73.9961332"
474,2016-10-11,1014159,"40.7450169,-73.9962882"
2351,2016-10-11,1044700,"40.7634870,-73.9601200"
474,2016-10-11,1026697,"0.0000000,0.0000000"
474,2016-10-11,1012629,"40.7458400,-74.0031300"
2351,2016-10-11,1040754,"40.7636700,-73.9710110"
2542,2016-10-11,1089354,"40.7636642,-73.9586035"
2669,2016-10-11,1064773,"40.8639150,-73.9227380"
2351,2016-10-11,1043787,"40.7625280,-73.9643840"
2224,2016-10-11,1007524,"40.7233834,-73.9966162"
2781,2016-10-11,1052057,"40.7930781,-73.9463678"
2781,2016-10-11,1052057,"40.7577950,-73.8619059"
1734,2016-10-11,1026697,"0.0000000,0.0000000"
474,2016-10-11,1082493,"40.7673453,-73.9837065"
1734,2016-10-11,1026697,"0.0000000,0.0000000"
1734,2016-10-11,1026697,"0.0000000,0.0000000"
2341,2016-10-11,1077738,"40.7226454,-74.0040311"
2633,2016-10-10,4005065,"40.7505696,-73.9423033"
2633,2016-10-10,4534020,"0.0000000,0.0000000"
2267,2016-10-10,4081804,"40.7060906,-73.9160332"
1871,2016-10-10,4001293,"40.7436230,-73.9163660"
1760,2016-10-10,4079258,"40.7061590,-73.8350010"
1871,2016-10-10,3185543,"40.5987889,-73.9892300"
2387,2016-10-10,3016803,"40.6613169,-73.9883830"
2387,2016-10-10,3009068,"40.6638130,-73.9939900"
2633,2016-10-10,3335619,"40.7193814,-73.9546797"
2610,2016-10-10,3131913,
338,2016-10-10,3071688,"40.6997610,-73.9396280"
1710,2016-10-10,2098344,"40.8307880,-73.9302359"
1710,2016-10-10,2013438,"40.8577630,-73.8969550"
2282,2016-10-10,2013284,"40.8506495,-73.9002467"
2633,2016-10-10,1004489,"40.7227427,-73.9769955"
2633,2016-10-10,1004489,"40.7227629,-73.9766985"
1710,2016-10-10,1064130,"40.8586291,-73.9289012"
1871,2016-10-10,1001034,"0.0000000,0.0000000"
1871,2016-10-10,1024825,"40.7635649,-73.9848257"
2218,2016-10-10,1085498,"40.7619857,-73.9856760"
2668,2016-10-10,1078732,"40.7361590,-73.9875360"
2668,2016-10-10,1079745,"40.8202828,-73.9557400"
2218,2016-10-10,1085498,"40.7619857,-73.9856760"
1871,2016-10-10,1028481,
2218,2016-10-10,1050292,"40.7821349,-73.9467180"
2218,2016-10-10,1085498,"40.7619857,-73.9856760"
2218,2016-10-10,1085498,"40.7619857,-73.9856760"
338,2016-10-08,4001293,"40.7436230,-73.9163660"
2530,2016-10-08,3095889,"40.6728089,-73.8660208"
2530,2016-10-08,3002928,"40.6906216,-73.9975518"
2351,2016-10-08,2007974,"40.8370980,-73.9145590"
1710,2016-10-08,1055719,"40.7999631,-73.9601556"
2669,2016-10-08,1044390,
2282,2016-10-08,1004652,
2669,2016-10-08,1063323,"40.8369010,-73.9452060"
2271,2016-10-08,1081498,"40.8504393,-73.9352870"
2271,2016-10-08,1064066,"40.8575363,-73.9281711"
2271,2016-10-08,1015174,"40.7487243,-73.9916396"
2271,2016-10-08,1064294,
2271,2016-10-08,1064342,"40.8516361,-73.9394508"
